res	uni	periodo
1	1	1
1	1	2
0	1	3
0	1	4
0	1	5
1	2	1
1	2	2
1	2	3
0	2	4
0	2	5
0	3	1
1	3	2
0	3	3
0	3	4
0	3	5
0	4	1
0	4	2
0	4	3
0	4	4
1	4	5
0	5	1
1	5	2
0	5	3
1	5	4
0	5	5
0	6	1
1	6	2
1	6	3
1	6	4
1	6	5
0	7	1
1	7	2
0	7	3
0	7	4
1	7	5
1	8	1
0	8	2
0	8	3
1	8	4
1	8	5
1	9	1
0	9	2
1	9	3
0	9	4
1	9	5
1	10	1
0	10	2
0	10	3
1	10	4
1	10	5
1	11	1
0	11	2
1	11	3
1	11	4
0	11	5
1	12	1
1	12	2
0	12	3
1	12	4
1	12	5
1	13	1
0	13	2
1	13	3
0	13	4
1	13	5
0	14	1
1	14	2
1	14	3
0	14	4
0	14	5
0	15	1
1	15	2
0	15	3
0	15	4
1	15	5
